target,n_imputed,rmse_base,rmse_overlay,rmse_diff_base_minus_overlay,mae_base,mae_overlay,mae_diff_base_minus_overlay,r2_base,r2_overlay,r2_diff_overlay_minus_base
t12ppl,1683,0.4616462799644184,0.44222902217552446,0.01941725778889397,0.28241990503494807,0.27761166300613543,0.004808242028812637,0.4912044214701723,0.5331051008043648,0.0419006793341925
l1ppl,1684,0.43775357913137053,0.44273709617743706,-0.004983517046066532,0.2702631372289241,0.2872959203556879,-0.017032783126763817,0.5340848070504118,0.5234161889202761,-0.010668618130135754
l2ppl,1689,0.43462386762980343,0.4334129365604734,0.0012109310693300124,0.2736528026911705,0.28049281520119446,-0.006840012510023974,0.5366374617601244,0.5392158679577421,0.002578406197617733
l3ppl,1694,0.4485807894909517,0.4461514516985611,0.002429337792390629,0.305269770179089,0.31169288913656684,-0.006423118957477825,0.4926426067797316,0.4981230242866874,0.005480417506955826
l4ppl,1694,0.47571777134580556,0.46807984399915586,0.007637927346649698,0.33321712332763387,0.33512497660313617,-0.0019078532755023025,0.4445015924600717,0.4621960994094856,0.01769450694941388
l5ppl,1694,0.49363457906477687,0.4882687463328923,0.005365832731884568,0.3537830479680577,0.3568769233332069,-0.0030938753651492124,0.41629443888967155,0.428915287095715,0.012620848206043478
s1ppl,1694,0.5163386637638889,0.4919472106771676,0.024391453086721304,0.38030658642527204,0.36788964638631644,0.012416940038955604,0.39091179784690644,0.44709833295286683,0.05618653510596039
s2ppl,1694,0.5011378454608534,0.4802030181534211,0.02093482730743229,0.36693170912280115,0.3471269107741494,0.01980479834865173,0.41255707500987226,0.4606122918070735,0.04805521679720126
s3ppl,1691,0.5210578353546745,0.4988762814787741,0.022181553875900428,0.3876816687828986,0.3698038820393212,0.01787778674357743,0.4251223527984509,0.47302589696466013,0.04790354416620923
s45ppl,660,0.7192459517219928,0.6905591889357172,0.028686762786275577,0.5980687843240572,0.5857251627088497,0.012343621615207523,0.1052164058996673,0.17516899485665194,0.06995258895698464
c2ppr,1570,0.1269038592954099,0.147555136244996,-0.0206512769495861,0.05717853087528496,0.08012436104428236,-0.0229458301689974,0.058550867577845,-0.27278738742429365,-0.33133825500213865
c3ppr,1173,0.18264549479587697,0.18972741956739875,-0.00708192477152178,0.0638436875278281,0.07698297396441961,-0.013139286436591513,0.6270828546463323,0.5976031033337141,-0.029479751312618152
c4ppr,809,0.2891292743791527,0.3013913848692775,-0.012262110490124822,0.09287950576125323,0.10962492441217449,-0.01674541865092126,0.6428685639119649,0.6119339807302744,-0.03093458318169051
c5ppr,984,0.5460605251447853,0.5691314274482338,-0.023070902303448437,0.3409189298839831,0.3632596042007208,-0.022340674316737696,0.5700832614160722,0.5329881229436283,-0.037095138472443945
c6ppr,1377,0.5910143854845769,0.6367491857274941,-0.045734800242917206,0.4269842067848385,0.4811283628427212,-0.0541441560578827,0.5528053392533427,0.48091640656815615,-0.07188893268518659
c7ppr,1574,0.6155248177210554,0.6286853629912729,-0.013160545270217483,0.4435912525290777,0.46983672917040664,-0.026245476641328924,0.5498018580970394,0.5303446646908001,-0.019457193406239304
c8ppr,1622,0.595684467620389,0.6169613093365207,-0.021276841716131756,0.42003810008081727,0.4580934827621342,-0.03805538268131692,0.5807326225340739,0.5502466789774854,-0.030485943556588513
t1ppr,1636,0.612429755150826,0.6313692127010855,-0.018939457550259498,0.4445231514880411,0.48704715187873115,-0.04252400039069004,0.5512193242293815,0.5230329437167961,-0.028186380512585374
t2ppr,1627,0.6493680184816457,0.6676003740723768,-0.01823235559073111,0.4838915279818574,0.5293320499557472,-0.045440521973889814,0.5046307836528852,0.47642323423110955,-0.028207549421775613
t3ppr,1582,0.6643188742065099,0.6712733795282751,-0.006954505321765225,0.5053523975164264,0.5362710001467528,-0.03091860263032642,0.4795100231018139,0.468555352505323,-0.010954670596490912
t4ppr,1585,0.6127823165253888,0.6115132301820524,0.0012690863433364452,0.44138281020550324,0.47262924747888224,-0.031246437273379002,0.5057703944986249,0.5078153965566574,0.0020450020580324857
t5ppr,1593,0.5608023541142783,0.552308215931044,0.008494138183234301,0.3963361195226043,0.4148523892952411,-0.018516269772636818,0.5352870160609057,0.5492578644361126,0.013970848375206901
t6ppr,1597,0.5533080430328354,0.5380630373302109,0.015245005702624548,0.3923039028086305,0.3933506109154012,-0.0010467081067707107,0.5148518217739217,0.5412175924874015,0.026365770713479786
t7ppr,1613,0.5401901647818187,0.5292300824506749,0.010960082331143761,0.3858317819291752,0.39120704990737165,-0.00537526797819643,0.47924821216382574,0.5001652240400193,0.020917011876193548
t8ppr,1637,0.487673155583368,0.4839081203383883,0.0037650352449796753,0.3327355562767871,0.35549088083913066,-0.022755324562343582,0.533483675426462,0.5406592606656561,0.007175585239194038
t9ppr,1641,0.47782755986092007,0.46737384811672117,0.010453711744198901,0.3255340475407426,0.3302123456078739,-0.00467829806713127,0.5209629620795164,0.5416940256500372,0.02073106357052079
t10ppr,1655,0.47055005491674967,0.4486068317103786,0.0219432232063711,0.3237078709651651,0.3118527279513975,0.01185514301376761,0.5008923774929716,0.5463568976601403,0.04546452016716873
t11ppr,1673,0.4318728087569123,0.4211574438084342,0.010715364948478134,0.28068808603584233,0.287017705502936,-0.00632961946709365,0.5573202894528453,0.5790147719837566,0.02169448253091133
t12ppr,1679,0.4206741926073009,0.42127418112535897,-0.0005999885180580922,0.2512101769500577,0.2739021811898334,-0.022692004239775687,0.5576558668097129,0.5563931762496486,-0.001262690560064339
l1ppr,1680,0.43014671618680156,0.41345865555888983,0.016688060627911727,0.2749886908698716,0.2736627024265805,0.0013259884432911262,0.5052838270955271,0.5429254283721933,0.03764160127666616
l2ppr,1688,0.4214291509104735,0.41386795560887596,0.007561195301597545,0.26068028823557526,0.2779266152903879,-0.01724632705481266,0.534133113127458,0.55070012292454,0.016567009797081922
